date,year,month,units_sold,revenue_inr,avg_price_inr,discount_pct,marketing_spend_inr
2023-01-01,2023,1,1345,3212585.9832794154,2388.5397645200114,0.1660326698036971,299528.4129238118
2023-02-01,2023,2,1269,3187984.851895535,2512.2024049610204,0.1201144914490346,263143.7104685753
2023-03-01,2023,3,1413,3573089.408907972,2528.725696325528,0.1549672201713281,330293.85831583146
2023-04-01,2023,4,1713,3959509.4571351977,2311.447435572212,0.1664918689900541,368263.41412551765
2023-05-01,2023,5,1420,3952629.121394156,2783.5416347846167,0.0913404517463423,431564.83481745765
2023-06-01,2023,6,1597,4258313.251230853,2666.445367082563,0.0643067501885979,449261.8372461937
2023-07-01,2023,7,1759,4863995.945237853,2765.2051991119115,0.0796315711304524,561735.6429172124
2023-08-01,2023,8,1830,5009189.311347326,2737.2619187690307,0.1055240125214133,495351.7031389826
2023-09-01,2023,9,1994,5102349.327725532,2558.851217515312,0.1563419195699241,432596.411032568
2023-10-01,2023,10,2575,7089884.880669648,2753.3533517163683,0.1618949758233246,769463.7277795218
2023-11-01,2023,11,3327,7497678.507867734,2253.585364552971,0.0509037769690547,827979.1489542995
2023-12-01,2023,12,2684,6221189.955344684,2317.8800131686603,0.1163971493350835,637367.6789749092
2024-01-01,2024,1,2151,4790924.439143232,2227.300994487788,0.1042634304093412,531019.7753003243
2024-02-01,2024,2,1838,4402967.267625977,2395.520820253524,0.0788740153611949,439204.0153176886
2024-03-01,2024,3,1957,4762081.811467834,2433.358104991228,0.0655824977533787,480538.4048797112
2024-04-01,2024,4,2241,5295303.182235328,2362.9197600336133,0.0938899722824716,514182.6271808326
2024-05-01,2024,5,2037,5495803.064172522,2697.9887403890634,0.1725782615086274,445252.1857197533
2024-06-01,2024,6,2561,6183185.727038772,2414.3638137597704,0.0920163811626981,521339.3674212956
2024-07-01,2024,7,2618,6201962.945130112,2368.969803334649,0.1174427808266376,503953.9414113985
2024-08-01,2024,8,2530,6390917.828578212,2526.054477698898,0.1413924646563731,673963.2920317964
2024-09-01,2024,9,3328,7604715.133401258,2285.070653065282,0.0972718483093082,704000.7181347542
2024-10-01,2024,10,3555,9533121.27957278,2681.6093613425546,0.1763316707537249,956580.3454901932
2024-11-01,2024,11,4688,10524064.555419551,2244.8943164290854,0.1751181483424744,1223976.6908308722
2024-12-01,2024,12,2887,8062736.120314998,2792.773162561481,0.0827316984572973,725417.9880440988
2025-01-01,2025,1,2341,6235483.673323922,2663.598322650116,0.1146423057660101,601196.1345218985
2025-02-01,2025,2,2756,6392523.436408998,2319.4932642993463,0.08911418027618,704597.0093343974
2025-03-01,2025,3,2936,6469213.342170075,2203.4105388862654,0.0870292642690707,576742.8331681036
2025-04-01,2025,4,2693,7243674.254322617,2689.8159132278565,0.0547953031560892,601798.6359828856
2025-05-01,2025,5,2789,7319808.393024358,2624.5279286569944,0.1292433634173866,670421.6761191166
2025-06-01,2025,6,2978,7855829.484351442,2637.95483020532,0.1153482730197519,679127.4364247195
2025-07-01,2025,7,3053,8130208.450901959,2663.0227484120405,0.0566922376624986,952762.1044665286
2025-08-01,2025,8,4173,9367609.046652976,2244.814053834885,0.0862240403507594,1052214.9548679283
2025-09-01,2025,9,3807,9196460.821455026,2415.671347899928,0.168074565175665,968719.778952824
2025-10-01,2025,10,5268,11957463.227481453,2269.8297698332294,0.0811430457867064,1373415.376653273
2025-11-01,2025,11,5145,13984014.750400111,2717.9814869582337,0.068836333371859,1568263.6671456853
2025-12-01,2025,12,4020,10348688.84353261,2574.3007073464205,0.1136288588360832,905125.3269598545
